19:33:41.516 [main] INFO  h.b.m.t.b.e.o.EpsilonModelOperationFactory - Creating operation for CONNECTEDSEGMENTS
19:33:54.923 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:54.923 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@69ce2f62 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@55182842 (name: Route) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy RouteSensor
19:33:54.923 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:54.923 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@c9d82f9 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@55182842 (name: Route) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy RouteSensor
19:33:54.923 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:54.923 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@18fdb6cf (eClass: org.eclipse.emf.ecore.impl.EClassImpl@55182842 (name: Route) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy RouteSensor
19:33:54.923 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:54.923 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@d02f8d (eClass: org.eclipse.emf.ecore.impl.EClassImpl@55182842 (name: Route) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy RouteSensor
19:33:54.923 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:54.923 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@60baef24 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@55182842 (name: Route) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy RouteSensor
19:33:54.923 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:54.923 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@61533ae (eClass: org.eclipse.emf.ecore.impl.EClassImpl@55182842 (name: Route) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy RouteSensor
19:33:54.923 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:54.923 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Disposing engine
19:33:54.923 [main] INFO  h.b.m.t.b.e.t.EpsilonApiEolTransformation - Model Transformation activated
19:33:54.924 [main] INFO  h.b.m.t.b.e.t.EpsilonApiEolTransformation - Creating engine
19:33:54.924 [main] INFO  o.e.e.e.s.eol.EolStandaloneEngine - Creating the EolStandaloneEngine
19:33:54.924 [main] INFO  h.b.m.t.b.e.t.EpsilonApiEolTransformation - Executing
19:33:54.924 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Executing engine.
19:33:54.930 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding models to context.
19:33:54.930 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding parametrs to context.
19:33:54.930 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding Native Type Delegates
19:33:54.930 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Pre-process execution
19:33:54.931 [main] INFO  o.e.e.e.s.eol.EolStandaloneEngine - Executing EOL operation RepairRouteSensor with arguments: [[EpsilonMatch [match=[org.eclipse.emf.ecore.impl.DynamicEObjectImpl@18fdb6cf (eClass: org.eclipse.emf.ecore.impl.EClassImpl@55182842 (name: Route) (instanceClassName: null) (abstract: false, interface: false)), org.eclipse.emf.ecore.impl.DynamicEObjectImpl@3c904f1e (eClass: org.eclipse.emf.ecore.impl.EClassImpl@77888435 (name: Sensor) (instanceClassName: null) (abstract: false, interface: false)), org.eclipse.emf.ecore.impl.DynamicEObjectImpl@24b4d544 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@3590fc5b (name: SwitchPosition) (instanceClassName: null) (abstract: false, interface: false)), org.eclipse.emf.ecore.impl.DynamicEObjectImpl@5b78fdb1 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@1bb5a082 (name: Switch) (instanceClassName: null) (abstract: false, interface: false))]], EpsilonMatch [match=[org.eclipse.emf.ecore.impl.DynamicEObjectImpl@61533ae (eClass: org.eclipse.emf.ecore.impl.EClassImpl@55182842 (name: Route) (instanceClassName: null) (abstract: false, interface: false)), org.eclipse.emf.ecore.impl.DynamicEObjectImpl@55a609dd (eClass: org.eclipse.emf.ecore.impl.EClassImpl@77888435 (name: Sensor) (instanceClassName: null) (abstract: false, interface: false)), org.eclipse.emf.ecore.impl.DynamicEObjectImpl@27a2a089 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@3590fc5b (name: SwitchPosition) (instanceClassName: null) (abstract: false, interface: false)), org.eclipse.emf.ecore.impl.DynamicEObjectImpl@71a3a190 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@1bb5a082 (name: Switch) (instanceClassName: null) (abstract: false, interface: false))]], EpsilonMatch [match=[org.eclipse.emf.ecore.impl.DynamicEObjectImpl@69ce2f62 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@55182842 (name: Route) (instanceClassName: null) (abstract: false, interface: false)), org.eclipse.emf.ecore.impl.DynamicEObjectImpl@35ff8fc9 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@77888435 (name: Sensor) (instanceClassName: null) (abstract: false, interface: false)), org.eclipse.emf.ecore.impl.DynamicEObjectImpl@54657dd2 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@3590fc5b (name: SwitchPosition) (instanceClassName: null) (abstract: false, interface: false)), org.eclipse.emf.ecore.impl.DynamicEObjectImpl@286b39c2 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@1bb5a082 (name: Switch) (instanceClassName: null) (abstract: false, interface: false))]], EpsilonMatch [match=[org.eclipse.emf.ecore.impl.DynamicEObjectImpl@63429932 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@55182842 (name: Route) (instanceClassName: null) (abstract: false, interface: false)), org.eclipse.emf.ecore.impl.DynamicEObjectImpl@10876a6 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@77888435 (name: Sensor) (instanceClassName: null) (abstract: false, interface: false)), org.eclipse.emf.ecore.impl.DynamicEObjectImpl@706eab5d (eClass: org.eclipse.emf.ecore.impl.EClassImpl@3590fc5b (name: SwitchPosition) (instanceClassName: null) (abstract: false, interface: false)), org.eclipse.emf.ecore.impl.DynamicEObjectImpl@38499e48 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@1bb5a082 (name: Switch) (instanceClassName: null) (abstract: false, interface: false))]], EpsilonMatch [match=[org.eclipse.emf.ecore.impl.DynamicEObjectImpl@18fdb6cf (eClass: org.eclipse.emf.ecore.impl.EClassImpl@55182842 (name: Route) (instanceClassName: null) (abstract: false, interface: false)), org.eclipse.emf.ecore.impl.DynamicEObjectImpl@784c5ef5 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@77888435 (name: Sensor) (instanceClassName: null) (abstract: false, interface: false)), org.eclipse.emf.ecore.impl.DynamicEObjectImpl@72725ee1 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@3590fc5b (name: SwitchPosition) (instanceClassName: null) (abstract: false, interface: false)), org.eclipse.emf.ecore.impl.DynamicEObjectImpl@1b9c1b51 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@1bb5a082 (name: Switch) (instanceClassName: null) (abstract: false, interface: false))]], EpsilonMatch [match=[org.eclipse.emf.ecore.impl.DynamicEObjectImpl@63429932 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@55182842 (name: Route) (instanceClassName: null) (abstract: false, interface: false)), org.eclipse.emf.ecore.impl.DynamicEObjectImpl@325bb9a6 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@77888435 (name: Sensor) (instanceClassName: null) (abstract: false, interface: false)), org.eclipse.emf.ecore.impl.DynamicEObjectImpl@40e60ece (eClass: org.eclipse.emf.ecore.impl.EClassImpl@3590fc5b (name: SwitchPosition) (instanceClassName: null) (abstract: false, interface: false)), org.eclipse.emf.ecore.impl.DynamicEObjectImpl@c3fa05a (eClass: org.eclipse.emf.ecore.impl.EClassImpl@1bb5a082 (name: Switch) (instanceClassName: null) (abstract: false, interface: false))]], EpsilonMatch [match=[org.eclipse.emf.ecore.impl.DynamicEObjectImpl@d02f8d (eClass: org.eclipse.emf.ecore.impl.EClassImpl@55182842 (name: Route) (instanceClassName: null) (abstract: false, interface: false)), org.eclipse.emf.ecore.impl.DynamicEObjectImpl@7159a5cd (eClass: org.eclipse.emf.ecore.impl.EClassImpl@77888435 (name: Sensor) (instanceClassName: null) (abstract: false, interface: false)), org.eclipse.emf.ecore.impl.DynamicEObjectImpl@3f9270ed (eClass: org.eclipse.emf.ecore.impl.EClassImpl@3590fc5b (name: SwitchPosition) (instanceClassName: null) (abstract: false, interface: false)), org.eclipse.emf.ecore.impl.DynamicEObjectImpl@773bd77b (eClass: org.eclipse.emf.ecore.impl.EClassImpl@1bb5a082 (name: Switch) (instanceClassName: null) (abstract: false, interface: false))]], EpsilonMatch [match=[org.eclipse.emf.ecore.impl.DynamicEObjectImpl@18fdb6cf (eClass: org.eclipse.emf.ecore.impl.EClassImpl@55182842 (name: Route) (instanceClassName: null) (abstract: false, interface: false)), org.eclipse.emf.ecore.impl.DynamicEObjectImpl@2c43eb8 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@77888435 (name: Sensor) (instanceClassName: null) (abstract: false, interface: false)), org.eclipse.emf.ecore.impl.DynamicEObjectImpl@3a230001 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@3590fc5b (name: SwitchPosition) (instanceClassName: null) (abstract: false, interface: false)), org.eclipse.emf.ecore.impl.DynamicEObjectImpl@68e62ca4 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@1bb5a082 (name: Switch) (instanceClassName: null) (abstract: false, interface: false))]], EpsilonMatch [match=[org.eclipse.emf.ecore.impl.DynamicEObjectImpl@69ce2f62 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@55182842 (name: Route) (instanceClassName: null) (abstract: false, interface: false)), org.eclipse.emf.ecore.impl.DynamicEObjectImpl@cb0f763 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@77888435 (name: Sensor) (instanceClassName: null) (abstract: false, interface: false)), org.eclipse.emf.ecore.impl.DynamicEObjectImpl@5ac6c4f2 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@3590fc5b (name: SwitchPosition) (instanceClassName: null) (abstract: false, interface: false)), org.eclipse.emf.ecore.impl.DynamicEObjectImpl@2b87581 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@1bb5a082 (name: Switch) (instanceClassName: null) (abstract: false, interface: false))]], EpsilonMatch [match=[org.eclipse.emf.ecore.impl.DynamicEObjectImpl@d02f8d (eClass: org.eclipse.emf.ecore.impl.EClassImpl@55182842 (name: Route) (instanceClassName: null) (abstract: false, interface: false)), org.eclipse.emf.ecore.impl.DynamicEObjectImpl@1cb7936c (eClass: org.eclipse.emf.ecore.impl.EClassImpl@77888435 (name: Sensor) (instanceClassName: null) (abstract: false, interface: false)), org.eclipse.emf.ecore.impl.DynamicEObjectImpl@2aa6311a (eClass: org.eclipse.emf.ecore.impl.EClassImpl@3590fc5b (name: SwitchPosition) (instanceClassName: null) (abstract: false, interface: false)), org.eclipse.emf.ecore.impl.DynamicEObjectImpl@4d4960c8 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@1bb5a082 (name: Switch) (instanceClassName: null) (abstract: false, interface: false))]]]].
19:33:54.932 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Post-process execution.
19:33:54.932 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Disposing engine
19:33:54.932 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - Start evaluation
19:33:54.933 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - Creating engine
19:33:54.934 [main] INFO  o.e.e.e.s.evl.EvlStandaloneEngine - Creating the EvlStandaloneEngine
19:33:54.934 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - Executing
19:33:54.934 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Executing engine.
19:33:54.938 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding models to context.
19:33:54.938 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding parametrs to context.
19:33:54.938 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding Native Type Delegates
19:33:54.938 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Pre-process execution
19:33:54.938 [main] INFO  o.e.e.e.s.evl.EvlStandaloneEngine - Executing EVL script.
19:33:54.947 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Post-process execution.
19:33:54.947 [main] INFO  o.e.e.e.s.evl.EvlStandaloneEngine - Retrieving unsatisfied Constraints.
19:33:54.947 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - The Evl Query returned 6 matches.
19:33:54.947 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@7c8326a4 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@55182842 (name: Route) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy RouteSensor
19:33:54.947 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:54.947 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@69ce2f62 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@55182842 (name: Route) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy RouteSensor
19:33:54.947 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:54.947 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@c9d82f9 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@55182842 (name: Route) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy RouteSensor
19:33:54.947 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:54.947 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@18fdb6cf (eClass: org.eclipse.emf.ecore.impl.EClassImpl@55182842 (name: Route) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy RouteSensor
19:33:54.947 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:54.947 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@d02f8d (eClass: org.eclipse.emf.ecore.impl.EClassImpl@55182842 (name: Route) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy RouteSensor
19:33:54.947 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:54.947 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Element org.eclipse.emf.ecore.impl.DynamicEObjectImpl@60baef24 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@55182842 (name: Route) (instanceClassName: null) (abstract: false, interface: false)) did not satisfy RouteSensor
19:33:54.947 [main] DEBUG h.b.m.t.b.e.q.EpsilonApiEvlQuery - Match created
19:33:54.947 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Disposing engine
19:33:54.949 [main] INFO  h.b.m.t.b.e.o.EpsilonModelOperationFactory - Creating operation for SWITCHSET
19:33:54.949 [main] INFO  h.b.m.t.b.e.o.EpsilonModelOperationFactory - Creating operation for SWITCHSET_INJECT
19:33:54.957 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - Start evaluation
19:33:54.960 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - Creating engine
19:33:54.960 [main] INFO  o.e.e.e.s.evl.EvlStandaloneEngine - Creating the EvlStandaloneEngine
19:33:54.961 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - Executing
19:33:54.961 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Executing engine.
19:33:54.997 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding models to context.
19:33:54.997 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding parametrs to context.
19:33:54.997 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding Native Type Delegates
19:33:54.997 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Pre-process execution
19:33:54.997 [main] INFO  o.e.e.e.s.evl.EvlStandaloneEngine - Executing EVL script.
19:33:55.004 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Post-process execution.
19:33:55.004 [main] INFO  o.e.e.e.s.evl.EvlStandaloneEngine - Retrieving unsatisfied Constraints.
19:33:55.004 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - The Evl Query returned 0 matches.
19:33:55.004 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Disposing engine
19:33:55.004 [main] INFO  h.b.m.t.b.e.t.EpsilonApiEolQuery - Start evaluation
19:33:55.012 [main] INFO  h.b.m.t.b.e.t.EpsilonApiEolQuery - Creating engine
19:33:55.012 [main] INFO  o.e.e.e.s.eol.EolStandaloneEngine - Creating the EolStandaloneEngine
19:33:55.012 [main] INFO  h.b.m.t.b.e.t.EpsilonApiEolQuery - Executing
19:33:55.012 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Executing engine.
19:33:55.022 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding models to context.
19:33:55.022 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding parametrs to context.
19:33:55.022 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding Native Type Delegates
19:33:55.022 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Pre-process execution
19:33:55.022 [main] INFO  o.e.e.e.s.eol.EolStandaloneEngine - Executing EOL operation SwitchSetInjectMatch with arguments: [].
19:33:55.039 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Post-process execution.
19:33:55.040 [main] INFO  h.b.m.t.b.e.t.EpsilonApiEolQuery - The Eol Query returned 67 matches.
19:33:55.040 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Disposing engine
19:33:55.040 [main] INFO  h.b.m.t.b.e.t.EpsilonApiEolTransformation - Model Transformation activated
19:33:55.040 [main] INFO  h.b.m.t.b.e.t.EpsilonApiEolTransformation - Creating engine
19:33:55.041 [main] INFO  o.e.e.e.s.eol.EolStandaloneEngine - Creating the EolStandaloneEngine
19:33:55.041 [main] INFO  h.b.m.t.b.e.t.EpsilonApiEolTransformation - Executing
19:33:55.041 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Executing engine.
19:33:55.045 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding models to context.
19:33:55.045 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding parametrs to context.
19:33:55.045 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding Native Type Delegates
19:33:55.045 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Pre-process execution
19:33:55.045 [main] INFO  o.e.e.e.s.eol.EolStandaloneEngine - Executing EOL operation InjectSwitchSet with arguments: [[EpsilonMatch [match=[org.eclipse.emf.ecore.impl.DynamicEObjectImpl@30feffc (eClass: org.eclipse.emf.ecore.impl.EClassImpl@1bb5a082 (name: Switch) (instanceClassName: null) (abstract: false, interface: false))]], EpsilonMatch [match=[org.eclipse.emf.ecore.impl.DynamicEObjectImpl@7ed9ae94 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@1bb5a082 (name: Switch) (instanceClassName: null) (abstract: false, interface: false))]], EpsilonMatch [match=[org.eclipse.emf.ecore.impl.DynamicEObjectImpl@6999cd39 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@1bb5a082 (name: Switch) (instanceClassName: null) (abstract: false, interface: false))]], EpsilonMatch [match=[org.eclipse.emf.ecore.impl.DynamicEObjectImpl@1450078a (eClass: org.eclipse.emf.ecore.impl.EClassImpl@1bb5a082 (name: Switch) (instanceClassName: null) (abstract: false, interface: false))]], EpsilonMatch [match=[org.eclipse.emf.ecore.impl.DynamicEObjectImpl@6ef7623 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@1bb5a082 (name: Switch) (instanceClassName: null) (abstract: false, interface: false))]], EpsilonMatch [match=[org.eclipse.emf.ecore.impl.DynamicEObjectImpl@2189e7a7 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@1bb5a082 (name: Switch) (instanceClassName: null) (abstract: false, interface: false))]], EpsilonMatch [match=[org.eclipse.emf.ecore.impl.DynamicEObjectImpl@3eb631b8 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@1bb5a082 (name: Switch) (instanceClassName: null) (abstract: false, interface: false))]], EpsilonMatch [match=[org.eclipse.emf.ecore.impl.DynamicEObjectImpl@bcb09a6 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@1bb5a082 (name: Switch) (instanceClassName: null) (abstract: false, interface: false))]], EpsilonMatch [match=[org.eclipse.emf.ecore.impl.DynamicEObjectImpl@4e558728 (eClass: org.eclipse.emf.ecore.impl.EClassImpl@1bb5a082 (name: Switch) (instanceClassName: null) (abstract: false, interface: false))]], EpsilonMatch [match=[org.eclipse.emf.ecore.impl.DynamicEObjectImpl@4d8539de (eClass: org.eclipse.emf.ecore.impl.EClassImpl@1bb5a082 (name: Switch) (instanceClassName: null) (abstract: false, interface: false))]]]].
19:33:55.053 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Post-process execution.
19:33:55.053 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Disposing engine
19:33:55.053 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - Start evaluation
19:33:55.054 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - Creating engine
19:33:55.054 [main] INFO  o.e.e.e.s.evl.EvlStandaloneEngine - Creating the EvlStandaloneEngine
19:33:55.054 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - Executing
19:33:55.054 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Executing engine.
19:33:55.056 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding models to context.
19:33:55.056 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding parametrs to context.
19:33:55.056 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding Native Type Delegates
19:33:55.056 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Pre-process execution
19:33:55.056 [main] INFO  o.e.e.e.s.evl.EvlStandaloneEngine - Executing EVL script.
19:33:55.057 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Post-process execution.
19:33:55.057 [main] INFO  o.e.e.e.s.evl.EvlStandaloneEngine - Retrieving unsatisfied Constraints.
19:33:55.057 [main] INFO  h.b.m.t.b.e.q.EpsilonApiEvlQuery - The Evl Query returned 0 matches.
19:33:55.057 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Disposing engine
19:33:55.057 [main] INFO  h.b.m.t.b.e.t.EpsilonApiEolQuery - Start evaluation
19:33:55.058 [main] INFO  h.b.m.t.b.e.t.EpsilonApiEolQuery - Creating engine
19:33:55.058 [main] INFO  o.e.e.e.s.eol.EolStandaloneEngine - Creating the EolStandaloneEngine
19:33:55.058 [main] INFO  h.b.m.t.b.e.t.EpsilonApiEolQuery - Executing
19:33:55.058 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Executing engine.
19:33:55.072 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding models to context.
19:33:55.072 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding parametrs to context.
19:33:55.072 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding Native Type Delegates
19:33:55.072 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Pre-process execution
19:33:55.072 [main] INFO  o.e.e.e.s.eol.EolStandaloneEngine - Executing EOL operation SwitchSetInjectMatch with arguments: [].
19:33:55.089 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Post-process execution.
19:33:55.089 [main] INFO  h.b.m.t.b.e.t.EpsilonApiEolQuery - The Eol Query returned 67 matches.
19:33:55.089 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Disposing engine
19:33:55.089 [main] INFO  h.b.m.t.b.e.t.EpsilonApiEolTransformation - Model Transformation activated
19:33:55.090 [main] INFO  h.b.m.t.b.e.t.EpsilonApiEolTransformation - Creating engine
19:33:55.090 [main] INFO  o.e.e.e.s.eol.EolStandaloneEngine - Creating the EolStandaloneEngine
19:33:55.090 [main] INFO  h.b.m.t.b.e.t.EpsilonApiEolTransformation - Executing
19:33:55.090 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Executing engine.
19:33:55.094 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding models to context.
19:33:55.095 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding parametrs to context.
19:33:55.095 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Adding Native Type Delegates
19:33:55.095 [main] INFO  o.e.e.e.s.AbstractStandaloneEngine - Pre-process execution
